"thumbnail_s3_url","desc_style"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/ri__ta__/DDWdqH4ReoC.jpg,"[""#겨울코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/ri__ta__/DAQQiMIyQ7o.jpg,"[""#데일리선글라스""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/ri__ta__/DBgr6I9SHDR.jpg,"[""#해외여행스타일링""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/ri__ta__/DA3ZAulyy2v.jpg,"[""#klook"", ""#클룩10주년"", ""#클룩"", ""#클룩반값할인"", ""#클룩반값여행""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/i.ma_love/DDwYREVJrfC.jpg,"[""#패션"", ""#일상룩"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/ri__ta__/DAa7b0dSpKq.jpg,"[""#세컨패션""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/nayouuw/DCOhlu6p-Kq.jpg,"[""#saveinstyle"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/dear_jungyeon/DGS_rP2vGUM.jpg,"[""#셔츠룩"", ""#셔츠코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/mj851030/DCD_9tLP9XK.jpg,"[""#데일리""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/m00__n/DBoMbHbpUh9.jpg,"[""#스트릿코디"", ""#빈티지스타일"", ""#가을코디추천"", ""#스트릿룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/i.ma_love/DD1XiAiJ-CF.jpg,"[""#패션"", ""#일상룩"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/m00__n/DBgDdb7JYYt.jpg,"[""#데일리룩"", ""#운동복코디"", ""#러닝패션"", ""#에슬레져룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/m00__n/DDwsBlRyXPa.jpg,"[""#겨울코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/frommoi/DCUdSATSfKR.jpg,"[""#티셔츠코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/nayouuw/DBEF0nzSGWA.jpg,"[""#오오티디"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/m00__n/DGGAcHwJRFw.jpg,"[""#딘트패션"", ""#겨울코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/yeon._.ii_/DEOmTlSSF5z.jpg,"[""#데일리백""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/0o_my_o0/DALOIlTyGgd.jpg,"[""#가을코디"", ""#데일리백팩"", ""#데일리코디"", ""#여행코디"", ""#백팩코디"", ""#여자코디"", ""#여자가을코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/zee.hye/DBY3J0pBvih.jpg,"[""#데일리코디"", ""#패딩코디"", ""#경량패딩코디"", ""#겨울코디"", ""#아웃도어룩""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/zee.hye/DBQDx1ih7PS.jpg,"[""#가을스타일링""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/jennysecret__/DGj-MEzvqI2.jpg,"[""#lookbook"", ""#오오티디"", ""#여자코디"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/jennysecret__/DGF5lXfPTbP.jpg,"[""#lookbook"", ""#오오티디"", ""#여자코디"", ""#ootd""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/jennysecret__/DGlLJQ4vlRA.jpg,"[""#여자코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/jennysecret__/DGipK2xBaUZ.jpg,"[""#여자코디""]"
https://bpcc-prd-s3-seoul-aim.s3.ap-northeast-2.amazonaws.com/ai_trend/instagram/thumbnail/jennysecret__/DFqs1EvziAy.jpg,"[""#lookbook"", ""#ootdfashion"", ""#오오티디"", ""#ootd""]"
